Data sets,alg55,alg2a,alg3a,alg4a,alg5,alg6,alg7,alg8,alg9,alg10a,alg11a,alg12,alg13,alg14a,alg15,alg16,alg17a,alg18,alg19a,alg20a
Fold_1,0.1411483253588517,0.1961722488038277,0.1937799043062201,0.1866028708133971,0.1889952153110048,0.1602870813397129,0.1650717703349282,0.1602870813397129,0.1722488038277512,0.1913875598086124,0.1746411483253588,0.1626794258373206,0.1722488038277512,0.1531100478468899,0.1578947368421053,0.1626794258373206,0.1842105263157895,0.1818181818181818,0.1483253588516746,0.1674641148325359
Fold_2,0.1650717703349282,0.222488038277512,0.2105263157894737,0.2296650717703349,0.1555023923444976,0.2033492822966507,0.2057416267942584,0.2009569377990431,0.1650717703349282,0.1985645933014354,0.215311004784689,0.1722488038277512,0.1650717703349282,0.2105263157894737,0.1578947368421053,0.1363636363636364,0.1746411483253588,0.1602870813397129,0.2105263157894737,0.1889952153110048
Fold_3,0.1267942583732057,0.1674641148325359,0.1674641148325359,0.1626794258373206,0.1674641148325359,0.1578947368421053,0.1483253588516746,0.145933014354067,0.1602870813397129,0.1770334928229665,0.1339712918660287,0.1435406698564593,0.1339712918660287,0.1148325358851675,0.1602870813397129,0.1746411483253588,0.1818181818181818,0.138755980861244,0.1220095693779904,0.1052631578947368
Fold_4,0.138755980861244,0.1435406698564593,0.1722488038277512,0.131578947368421,0.1818181818181818,0.1722488038277512,0.1674641148325359,0.1578947368421053,0.1674641148325359,0.208133971291866,0.1698564593301435,0.1531100478468899,0.1770334928229665,0.1578947368421053,0.1866028708133971,0.1602870813397129,0.1937799043062201,0.1746411483253588,0.1578947368421053,0.1435406698564593
Fold_5,0.1199040767386091,0.2014388489208633,0.1918465227817746,0.2038369304556355,0.1918465227817746,0.2134292565947242,0.2014388489208633,0.1966426858513189,0.1654676258992806,0.2038369304556355,0.1822541966426859,0.2014388489208633,0.1750599520383693,0.1942446043165468,0.158273381294964,0.1606714628297362,0.1870503597122302,0.1438848920863309,0.1822541966426859,0.1726618705035971
Fold_6,0.1678657074340528,0.2158273381294964,0.2014388489208633,0.2014388489208633,0.2062350119904077,0.2158273381294964,0.1918465227817746,0.1870503597122302,0.211031175059952,0.1870503597122302,0.1918465227817746,0.1774580335731415,0.2014388489208633,0.1918465227817746,0.1990407673860911,0.1990407673860911,0.1678657074340528,0.1990407673860911,0.1918465227817746,0.1918465227817746
Fold_7,0.1606714628297362,0.2206235011990408,0.2062350119904077,0.1990407673860911,0.2326139088729017,0.2062350119904077,0.2038369304556355,0.2086330935251799,0.223021582733813,0.1294964028776978,0.1750599520383693,0.1966426858513189,0.237410071942446,0.1870503597122302,0.223021582733813,0.2158273381294964,0.1462829736211031,0.2326139088729017,0.1918465227817746,0.1798561151079137
Fold_8,0.1486810551558753,0.1894484412470024,0.1870503597122302,0.1726618705035971,0.1702637889688249,0.1558752997601918,0.1678657074340528,0.158273381294964,0.1726618705035971,0.1630695443645084,0.1702637889688249,0.1750599520383693,0.158273381294964,0.1510791366906475,0.1606714628297362,0.1606714628297362,0.1558752997601918,0.158273381294964,0.1294964028776978,0.1702637889688249
Fold_9,0.1558752997601918,0.1702637889688249,0.158273381294964,0.1558752997601918,0.1750599520383693,0.1654676258992806,0.1798561151079137,0.1750599520383693,0.1726618705035971,0.1414868105515588,0.1774580335731415,0.1870503597122302,0.1750599520383693,0.1702637889688249,0.1822541966426859,0.1678657074340528,0.1342925659472422,0.1774580335731415,0.1798561151079137,0.184652278177458
Fold_10,0.1534772182254197,0.2134292565947242,0.211031175059952,0.2062350119904077,0.1750599520383693,0.184652278177458,0.1870503597122302,0.1942446043165468,0.1678657074340528,0.1726618705035971,0.1750599520383693,0.1918465227817746,0.1294964028776978,0.1774580335731415,0.1199040767386091,0.1606714628297362,0.1726618705035971,0.1270983213429256,0.1678657074340528,0.1654676258992806
