Data sets,alg55,alg160a,alg156a,alg73,alg157a,alg148a,alg143a,alg155a,alg158a,alg142a,alg145a,alg147a,alg139,alg144,alg154,alg6,alg152,alg146a,alg140,alg127
Fold_1,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6428571428571429,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6785714285714286
Fold_2,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7931034482758621,0.7241379310344828,0.7586206896551724,0.7931034482758621,0.7586206896551724,0.7241379310344828,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7241379310344828
Fold_3,0.6071428571428571,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6785714285714286,0.6785714285714286
Fold_4,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.75,0.75,0.7857142857142857,0.7857142857142857,0.75,0.7857142857142857,0.7857142857142857,0.75,0.75,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.75,0.7142857142857143,0.7142857142857143,0.6785714285714286,0.6785714285714286
Fold_5,0.8,0.8,0.8,0.8,0.8,0.7666666666666667,0.7666666666666667,0.8,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.8,0.8,0.8,0.7666666666666667,0.8,0.7666666666666667,0.8,0.7666666666666667
Fold_6,0.6333333333333333,0.6,0.6,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.7,0.6,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.7,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.6333333333333333,0.6666666666666666
Fold_7,0.7857142857142857,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8214285714285714,0.8571428571428571,0.8928571428571429,0.8928571428571429
Fold_8,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571
Fold_9,0.7931034482758621,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7931034482758621,0.7931034482758621,0.7586206896551724,0.7586206896551724,0.7931034482758621,0.7931034482758621,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7586206896551724,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621
Fold_10,0.7142857142857143,0.75,0.75,0.75,0.75,0.7142857142857143,0.7142857142857143,0.75,0.75,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.75,0.7142857142857143,0.75,0.6785714285714286,0.6785714285714286,0.6785714285714286
