Data sets,alg55,alg138,alg129,alg73,alg3a,alg150,alg141,alg146a,alg148a,alg45a,alg149,alg158a,alg147a,alg34a,alg127,alg157a,alg152,alg24,alg145a,alg140
Fold_1,0.6666666666666666,0.6333333333333333,0.7,0.6333333333333333,0.7,0.6333333333333333,0.6,0.6,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6,0.6333333333333333
Fold_2,0.5,0.5666666666666667,0.6,0.5333333333333333,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5,0.5333333333333333,0.4666666666666667,0.5,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6,0.5666666666666667,0.5666666666666667
Fold_3,0.6,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6333333333333333,0.6,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.5666666666666667,0.6,0.6,0.6333333333333333,0.6333333333333333,0.6
Fold_4,0.6,0.6333333333333333,0.6333333333333333,0.5666666666666667,0.6333333333333333,0.5333333333333333,0.7,0.6666666666666666,0.6,0.6333333333333333,0.5333333333333333,0.5666666666666667,0.5666666666666667,0.6333333333333333,0.6333333333333333,0.5333333333333333,0.5333333333333333,0.7,0.6666666666666666,0.6333333333333333
Fold_5,0.5333333333333333,0.5,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.5,0.5,0.5666666666666667,0.5333333333333333,0.4666666666666667,0.5,0.5,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
Fold_6,0.3666666666666666,0.5,0.5333333333333333,0.5666666666666667,0.4666666666666667,0.5666666666666667,0.4666666666666667,0.4333333333333333,0.5,0.5666666666666667,0.5666666666666667,0.5333333333333333,0.4333333333333333,0.5666666666666667,0.5,0.5333333333333333,0.6,0.4666666666666667,0.4333333333333333,0.4666666666666667
Fold_7,0.6129032258064516,0.6774193548387096,0.5806451612903226,0.5806451612903226,0.6129032258064516,0.5806451612903226,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6451612903225806,0.6129032258064516,0.5806451612903226,0.6774193548387096,0.6129032258064516,0.5806451612903226,0.5806451612903226,0.6129032258064516,0.5483870967741935,0.5806451612903226,0.5806451612903226
Fold_8,0.4838709677419355,0.5161290322580645,0.4838709677419355,0.4838709677419355,0.5161290322580645,0.4838709677419355,0.4838709677419355,0.5161290322580645,0.4838709677419355,0.4193548387096774,0.4516129032258064,0.4838709677419355,0.4838709677419355,0.4193548387096774,0.4838709677419355,0.4193548387096774,0.4516129032258064,0.4838709677419355,0.4838709677419355,0.4838709677419355
Fold_9,0.6,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.7,0.7666666666666667,0.6,0.7,0.7,0.6,0.6666666666666666,0.6666666666666666,0.7,0.6666666666666666,0.6333333333333333,0.5666666666666667,0.6666666666666666,0.6666666666666666
Fold_10,0.4193548387096774,0.4838709677419355,0.4516129032258064,0.5483870967741935,0.4838709677419355,0.5806451612903226,0.4838709677419355,0.4838709677419355,0.5483870967741935,0.4193548387096774,0.5161290322580645,0.5483870967741935,0.5483870967741935,0.4193548387096774,0.4838709677419355,0.5483870967741935,0.5161290322580645,0.4838709677419355,0.4838709677419355,0.4838709677419355
