Data sets,alg55,alg53a,alg73,alg77a,alg6,alg158a,alg5,alg3a,alg157a,alg160a,alg97a,alg147a,alg24,alg83a,alg26,alg156a,alg55,alg35,alg8,alg39
Fold_1,0.7289719626168224,0.7663551401869159,0.7383177570093458,0.7570093457943925,0.7383177570093458,0.7289719626168224,0.719626168224299,0.7663551401869159,0.7289719626168224,0.7383177570093458,0.7476635514018691,0.7383177570093458,0.719626168224299,0.7289719626168224,0.719626168224299,0.719626168224299,0.7289719626168224,0.7476635514018691,0.719626168224299,0.719626168224299
Fold_2,0.7009345794392523,0.6728971962616822,0.6822429906542056,0.6822429906542056,0.6915887850467289,0.6822429906542056,0.7009345794392523,0.6822429906542056,0.6822429906542056,0.6822429906542056,0.7009345794392523,0.6915887850467289,0.7009345794392523,0.6915887850467289,0.6915887850467289,0.6728971962616822,0.7009345794392523,0.6822429906542056,0.7102803738317757,0.6822429906542056
Fold_3,0.7663551401869159,0.7757009345794392,0.7476635514018691,0.7663551401869159,0.7570093457943925,0.7476635514018691,0.7476635514018691,0.7476635514018691,0.7476635514018691,0.7383177570093458,0.7476635514018691,0.7476635514018691,0.7663551401869159,0.7663551401869159,0.7663551401869159,0.7476635514018691,0.7663551401869159,0.7570093457943925,0.7663551401869159,0.7570093457943925
Fold_4,0.7383177570093458,0.7476635514018691,0.7476635514018691,0.7383177570093458,0.7383177570093458,0.7476635514018691,0.7476635514018691,0.6915887850467289,0.7476635514018691,0.7476635514018691,0.7383177570093458,0.7383177570093458,0.7383177570093458,0.7383177570093458,0.7476635514018691,0.7476635514018691,0.7383177570093458,0.7383177570093458,0.7383177570093458,0.719626168224299
Fold_5,0.7476635514018691,0.7757009345794392,0.7663551401869159,0.7663551401869159,0.7476635514018691,0.7757009345794392,0.8037383177570093,0.7850467289719626,0.7663551401869159,0.7757009345794392,0.7570093457943925,0.7663551401869159,0.7476635514018691,0.7757009345794392,0.7757009345794392,0.7757009345794392,0.7476635514018691,0.7570093457943925,0.7663551401869159,0.7663551401869159
Fold_6,0.719626168224299,0.7476635514018691,0.7383177570093458,0.7476635514018691,0.7570093457943925,0.7476635514018691,0.7383177570093458,0.7102803738317757,0.7383177570093458,0.7383177570093458,0.7289719626168224,0.7289719626168224,0.7570093457943925,0.7289719626168224,0.7476635514018691,0.7289719626168224,0.719626168224299,0.7476635514018691,0.7476635514018691,0.7383177570093458
Fold_7,0.7452830188679245,0.7452830188679245,0.7641509433962265,0.7641509433962265,0.7452830188679245,0.7547169811320755,0.7358490566037735,0.7169811320754716,0.7452830188679245,0.7641509433962265,0.7358490566037735,0.7358490566037735,0.7169811320754716,0.7452830188679245,0.6981132075471698,0.7547169811320755,0.7452830188679245,0.7169811320754716,0.7264150943396226,0.7169811320754716
Fold_8,0.7547169811320755,0.7641509433962265,0.7641509433962265,0.7169811320754716,0.7547169811320755,0.7452830188679245,0.7547169811320755,0.7924528301886793,0.7547169811320755,0.7547169811320755,0.7547169811320755,0.7547169811320755,0.7547169811320755,0.7452830188679245,0.7641509433962265,0.7641509433962265,0.7547169811320755,0.7547169811320755,0.7452830188679245,0.7641509433962265
Fold_9,0.7452830188679245,0.7358490566037735,0.7547169811320755,0.7264150943396226,0.7264150943396226,0.7547169811320755,0.7264150943396226,0.7452830188679245,0.7641509433962265,0.7358490566037735,0.7452830188679245,0.7358490566037735,0.7358490566037735,0.7452830188679245,0.7452830188679245,0.7547169811320755,0.7452830188679245,0.7358490566037735,0.7358490566037735,0.7735849056603774
Fold_10,0.7264150943396226,0.7452830188679245,0.7169811320754716,0.7452830188679245,0.7452830188679245,0.7169811320754716,0.7264150943396226,0.7547169811320755,0.7169811320754716,0.7169811320754716,0.7358490566037735,0.7452830188679245,0.7452830188679245,0.7169811320754716,0.7264150943396226,0.7075471698113207,0.7264150943396226,0.7358490566037735,0.7169811320754716,0.7264150943396226
