Data sets,alg55,alg96a,alg57a,alg75a,alg99a,alg87a,alg3a,alg40a,alg34a,alg69a,alg17a,alg2a,alg76a,alg97a,alg104a,alg83a,alg93a,alg158a,alg157a,alg160a
Fold_1,0.9345981028457314,0.9355966050923614,0.9350973539690465,0.9375936095856215,0.9355966050923614,0.9375936095856215,0.9370943584623065,0.9390913629555666,0.9306040938592112,0.9355966050923614,0.9365951073389915,0.9350973539690465,0.9350973539690465,0.9345981028457314,0.9350973539690465,0.9350973539690465,0.9345981028457314,0.9335996005991013,0.9335996005991013,0.9335996005991013
Fold_2,0.948,0.9495,0.949,0.951,0.949,0.9515,0.9505,0.9505,0.95,0.947,0.947,0.951,0.9485,0.9485,0.949,0.9485,0.949,0.949,0.949,0.949
Fold_3,0.951,0.9505,0.952,0.9515,0.9515,0.951,0.9505,0.948,0.9505,0.9485,0.9495,0.947,0.9515,0.951,0.9505,0.951,0.9505,0.949,0.949,0.9485
Fold_4,0.9415876185721418,0.946580129805292,0.9425861208187718,0.9430853719420869,0.946080878681977,0.945082376435347,0.946580129805292,0.9480778831752371,0.944083874188717,0.9435846230654019,0.9430853719420869,0.946080878681977,0.9425861208187718,0.9420868696954569,0.9420868696954569,0.9425861208187718,0.9415876185721418,0.9445831253120319,0.9435846230654019,0.9435846230654019
Fold_5,0.9425,0.941,0.943,0.9415,0.944,0.943,0.941,0.944,0.941,0.9435,0.9415,0.9415,0.9425,0.9425,0.942,0.9415,0.9425,0.941,0.9415,0.9405
Fold_6,0.9214607303651826,0.9279639819909955,0.9259629814907454,0.927463731865933,0.9239619809904952,0.9264632316158079,0.9234617308654327,0.9249624812406203,0.9184592296148074,0.9229614807403702,0.9194597298649325,0.9184592296148074,0.9204602301150575,0.919959979989995,0.9214607303651826,0.92096048024012,0.9204602301150575,0.92096048024012,0.9204602301150575,0.9204602301150575
Fold_7,0.9288577154308617,0.937374749498998,0.935370741482966,0.935370741482966,0.9298597194388778,0.9313627254509018,0.9303607214428857,0.9298597194388778,0.9313627254509018,0.9298597194388778,0.9273547094188377,0.9268537074148296,0.9303607214428857,0.9298597194388778,0.9298597194388778,0.9298597194388778,0.9298597194388778,0.9308617234468938,0.9308617234468938,0.9308617234468938
Fold_8,0.8784392196098049,0.8969484742371185,0.8934467233616809,0.887943971985993,0.8924462231115557,0.8844422211105553,0.887943971985993,0.8854427213606804,0.8904452226113057,0.8874437218609305,0.8874437218609305,0.886943471735868,0.8784392196098049,0.8804402201100551,0.8789394697348675,0.87943971985993,0.87943971985993,0.8804402201100551,0.8799399699849925,0.8809404702351176
Fold_9,0.9233082706766917,0.9298245614035088,0.9268170426065163,0.9273182957393483,0.9268170426065163,0.9263157894736842,0.9268170426065163,0.9218045112781955,0.9268170426065163,0.9228070175438596,0.9268170426065163,0.9228070175438596,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9243107769423559,0.9228070175438596,0.9233082706766917,0.9233082706766917
Fold_10,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559,0.04039900249376559
