Data sets,alg55,alg6,alg145a,alg148a,alg143a,alg146a,alg142a,alg97a,alg93a,alg120a,alg115a,alg155a,alg113a,alg158a,alg104a,alg118a,alg117a,alg73,alg55,alg114a
Fold_1,0.8475894245723172,0.8522550544323484,0.8522550544323484,0.8522550544323484,0.8522550544323484,0.8522550544323484,0.8522550544323484,0.8491446345256609,0.8506998444790047,0.8538102643856921,0.8538102643856921,0.8553654743390358,0.8538102643856921,0.8538102643856921,0.8506998444790047,0.8522550544323484,0.8522550544323484,0.8538102643856921,0.8475894245723172,0.8522550544323484
Fold_2,0.8400621118012422,0.8385093167701864,0.8385093167701864,0.8385093167701864,0.8369565217391305,0.8369565217391305,0.8369565217391305,0.8416149068322981,0.8416149068322981,0.8400621118012422,0.8400621118012422,0.8462732919254659,0.8400621118012422,0.84472049689441,0.8400621118012422,0.8400621118012422,0.8400621118012422,0.843167701863354,0.8400621118012422,0.8400621118012422
Fold_3,0.860248447204969,0.8680124223602484,0.8680124223602484,0.8680124223602484,0.8680124223602484,0.8664596273291926,0.8680124223602484,0.860248447204969,0.860248447204969,0.8633540372670807,0.8633540372670807,0.860248447204969,0.8633540372670807,0.8571428571428571,0.8586956521739131,0.8633540372670807,0.8633540372670807,0.860248447204969,0.860248447204969,0.8633540372670807
Fold_4,0.8400621118012422,0.8462732919254659,0.8462732919254659,0.8462732919254659,0.8462732919254659,0.8462732919254659,0.8462732919254659,0.8400621118012422,0.8400621118012422,0.8385093167701864,0.8400621118012422,0.8462732919254659,0.8385093167701864,0.84472049689441,0.8400621118012422,0.8385093167701864,0.8385093167701864,0.84472049689441,0.8400621118012422,0.8400621118012422
Fold_5,0.8260869565217391,0.8322981366459627,0.8322981366459627,0.8307453416149069,0.8322981366459627,0.8307453416149069,0.8307453416149069,0.8260869565217391,0.8260869565217391,0.8229813664596274,0.8214285714285714,0.8416149068322981,0.8245341614906833,0.8400621118012422,0.8260869565217391,0.8229813664596274,0.8229813664596274,0.8416149068322981,0.8260869565217391,0.8214285714285714
Fold_6,0.8416149068322981,0.8540372670807453,0.8540372670807453,0.8540372670807453,0.8540372670807453,0.8540372670807453,0.8540372670807453,0.843167701863354,0.843167701863354,0.8493788819875776,0.8493788819875776,0.8416149068322981,0.8462732919254659,0.8416149068322981,0.843167701863354,0.8478260869565217,0.8493788819875776,0.8416149068322981,0.8416149068322981,0.8462732919254659
Fold_7,0.843167701863354,0.8369565217391305,0.8354037267080745,0.8369565217391305,0.8354037267080745,0.8369565217391305,0.8354037267080745,0.8416149068322981,0.843167701863354,0.843167701863354,0.843167701863354,0.843167701863354,0.843167701863354,0.84472049689441,0.843167701863354,0.843167701863354,0.843167701863354,0.843167701863354,0.843167701863354,0.843167701863354
Fold_8,0.8504672897196262,0.8426791277258567,0.8426791277258567,0.8426791277258567,0.8426791277258567,0.8426791277258567,0.8426791277258567,0.8504672897196262,0.8504672897196262,0.8473520249221184,0.8473520249221184,0.8426791277258567,0.8473520249221184,0.8473520249221184,0.8489096573208723,0.8473520249221184,0.8473520249221184,0.8473520249221184,0.8504672897196262,0.8473520249221184
Fold_9,0.8569206842923794,0.8538102643856921,0.8553654743390358,0.8553654743390358,0.8553654743390358,0.8553654743390358,0.8553654743390358,0.8569206842923794,0.8569206842923794,0.8615863141524106,0.8615863141524106,0.8460342146189735,0.8615863141524106,0.8444790046656299,0.8569206842923794,0.8615863141524106,0.8600311041990669,0.8429237947122862,0.8569206842923794,0.8615863141524106
Fold_10,0.8631415241057543,0.8600311041990669,0.8569206842923794,0.8553654743390358,0.8553654743390358,0.8553654743390358,0.8553654743390358,0.864696734059098,0.8615863141524106,0.8538102643856921,0.8538102643856921,0.8506998444790047,0.8538102643856921,0.8538102643856921,0.8631415241057543,0.8538102643856921,0.8538102643856921,0.8522550544323484,0.8631415241057543,0.8538102643856921
