Data sets,alg55,alg10a,alg87a,alg75a,alg68a,alg124a,alg3a,alg86a,alg4a,alg57a,alg96a,alg125a,alg27a,alg69a,alg99a,alg40a,alg53a,alg110a,alg34a,alg2a
Fold_1,0.6941176470588235,0.6705882352941176,0.7058823529411765,0.6941176470588235,0.7058823529411765,0.7529411764705882,0.6588235294117647,0.6823529411764706,0.6470588235294118,0.7058823529411765,0.7294117647058823,0.6941176470588235,0.6705882352941176,0.6941176470588235,0.6941176470588235,0.6470588235294118,0.611764705882353,0.7176470588235294,0.6588235294117647,0.6235294117647059
Fold_2,0.611764705882353,0.6941176470588235,0.6470588235294118,0.6941176470588235,0.6823529411764706,0.6352941176470588,0.6705882352941176,0.6705882352941176,0.7058823529411765,0.6705882352941176,0.6823529411764706,0.7058823529411765,0.6588235294117647,0.6823529411764706,0.7058823529411765,0.6823529411764706,0.7176470588235294,0.6823529411764706,0.6823529411764706,0.7058823529411765
Fold_3,0.6352941176470588,0.6941176470588235,0.7294117647058823,0.7058823529411765,0.6941176470588235,0.7058823529411765,0.6705882352941176,0.6823529411764706,0.7058823529411765,0.6941176470588235,0.7058823529411765,0.6941176470588235,0.6705882352941176,0.6588235294117647,0.7176470588235294,0.7176470588235294,0.6941176470588235,0.7058823529411765,0.7176470588235294,0.7176470588235294
Fold_4,0.6705882352941176,0.6941176470588235,0.6941176470588235,0.7176470588235294,0.7294117647058823,0.7058823529411765,0.6823529411764706,0.6823529411764706,0.6823529411764706,0.7294117647058823,0.6823529411764706,0.6705882352941176,0.7058823529411765,0.6823529411764706,0.6823529411764706,0.6588235294117647,0.6235294117647059,0.6823529411764706,0.6823529411764706,0.6
Fold_5,0.6823529411764706,0.7529411764705882,0.7176470588235294,0.6941176470588235,0.6823529411764706,0.7176470588235294,0.7411764705882353,0.7411764705882353,0.7058823529411765,0.6823529411764706,0.6705882352941176,0.6470588235294118,0.6823529411764706,0.6823529411764706,0.6823529411764706,0.6941176470588235,0.6941176470588235,0.6470588235294118,0.6705882352941176,0.7176470588235294
Fold_6,0.6235294117647059,0.6470588235294118,0.6705882352941176,0.6705882352941176,0.6823529411764706,0.6352941176470588,0.6470588235294118,0.6588235294117647,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6705882352941176,0.6352941176470588,0.6588235294117647,0.6705882352941176,0.611764705882353,0.6235294117647059,0.6352941176470588
Fold_7,0.6904761904761905,0.7023809523809523,0.7142857142857143,0.75,0.75,0.75,0.6904761904761905,0.6666666666666666,0.7023809523809523,0.75,0.75,0.7619047619047619,0.7380952380952381,0.7142857142857143,0.7142857142857143,0.6904761904761905,0.7023809523809523,0.7738095238095238,0.7142857142857143,0.6785714285714286
Fold_8,0.6547619047619048,0.7380952380952381,0.7380952380952381,0.6785714285714286,0.6904761904761905,0.6785714285714286,0.7738095238095238,0.7738095238095238,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.7023809523809523,0.7619047619047619,0.7380952380952381,0.7380952380952381,0.7261904761904762,0.7023809523809523,0.6547619047619048,0.7380952380952381,0.7142857142857143
Fold_9,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6904761904761905,0.7023809523809523,0.7142857142857143,0.7142857142857143,0.7023809523809523,0.7023809523809523,0.7023809523809523,0.7261904761904762,0.7142857142857143,0.6785714285714286,0.7142857142857143,0.6785714285714286,0.7023809523809523,0.7261904761904762,0.7261904761904762,0.6904761904761905,0.7023809523809523
Fold_10,0.6785714285714286,0.7380952380952381,0.7023809523809523,0.7380952380952381,0.7142857142857143,0.7261904761904762,0.7619047619047619,0.75,0.7857142857142857,0.7380952380952381,0.7023809523809523,0.7261904761904762,0.7380952380952381,0.7142857142857143,0.7023809523809523,0.75,0.7738095238095238,0.7023809523809523,0.7142857142857143,0.7738095238095238
