Data sets,alg55,alg108,alg112,alg101,alg88,alg123,alg125a,alg126,alg68a,alg131,alg32,alg38,alg102,alg70,alg64,alg116a,alg99a,alg119,alg75a,alg98a
Fold_1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
Fold_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fold_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fold_4,0.9444444444444444,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1,1,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1,1,1,1,1
Fold_5,1,1,1,1,1,1,1,0.9411764705882353,1,0.9411764705882353,1,1,1,1,1,1,1,0.9411764705882353,1,1
Fold_6,0.9411764705882353,1,1,1,1,1,0.9411764705882353,1,0.9411764705882353,1,1,1,1,1,1,0.9411764705882353,0.9411764705882353,1,0.9411764705882353,0.9411764705882353
Fold_7,0.9444444444444444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fold_8,0.9444444444444444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9444444444444444,1
Fold_9,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888
Fold_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
